N,seed,qaoa_seed,pipeline_imbalance,status,solver_status,solve_seconds,reported_objective_units,verified_objective_units,witness_imbalance,exact_certificate_at_scale,mip_gap,pipeline_proven_nonoptimal,pipeline_certified_optimal
50,2,10002,0.009005223995460554,time_limit_with_witness,1,0.5020696609990409,84426.0,84426,8.442474292635893e-05,False,0.9999881553076067,True,False
50,3,10003,0.02866231206600034,time_limit_with_witness,1,0.5021873710011278,39759.0,39759,3.9757949522822855e-05,False,1.0,True,False
50,4,10004,0.03721351485500257,time_limit_with_witness,1,0.5056418889998895,156921.0,156921,0.0001569203758684523,False,0.9999999999939225,True,False
50,5,10005,0.0009341084778302644,time_limit_with_witness,1,0.5040746410013526,10262.0,10262,1.0257594414753157e-05,False,0.9999025531085558,True,False
50,6,10006,0.03466354292637597,time_limit_with_witness,1,0.5043765430000349,30051.0,30051,3.005043188863965e-05,False,0.9999999999912271,True,False
50,7,10007,0.00011490583247919517,time_limit_with_witness,1,0.5023524730004283,8766.0,8766,8.767251141961196e-06,False,1.0,True,False
50,8,10008,0.03372551870343621,time_limit_with_witness,1,0.5022278120013652,5323.0,5323,5.324962799591049e-06,False,0.9999999999475114,True,False
50,9,10009,0.019902061944421234,time_limit_with_witness,1,0.5067884239997511,68487.0,68487,6.848477232068717e-05,False,1.0,True,False
50,10,10010,0.023861710506155376,time_limit_with_witness,1,0.5030707759997313,83588.0,83588,8.358582380907364e-05,False,1.0,True,False
50,11,10011,0.005494355118269567,time_limit_with_witness,1,0.502696854999158,5372.0,5372,5.373061174651639e-06,False,0.9999999999390184,True,False
50,12,10012,0.015525349794106802,time_limit_with_witness,1,0.5039344699998765,41707.0,41707,4.170699802230615e-05,False,0.9999999999957127,True,False
50,13,10013,0.008325967475258267,time_limit_with_witness,1,0.5091628760001186,63356.0,63356,6.3356913926782e-05,False,0.9999999999981184,True,False
50,14,10014,0.014722193449134835,time_limit_with_witness,1,0.501391178000631,23260.0,23260,2.3260673000180532e-05,False,1.0,True,False
50,15,10015,0.0015862871431551184,time_limit_with_witness,1,0.5015255279995472,27750.0,27750,2.774999677512824e-05,False,1.0,True,False
50,16,10016,0.01456370980779731,time_limit_with_witness,1,0.5037060189988551,480.0,480,4.787517866589042e-07,False,0.9979166666666667,True,False
50,17,10017,0.00688010264252803,time_limit_with_witness,1,0.501578758998221,5865.0,5865,5.863481096213263e-06,False,1.0,True,False
50,18,10018,0.00701318013285146,time_limit_with_witness,1,0.501843000000008,35901.0,35901,3.5900609713479525e-05,False,0.999999999993359,True,False
50,19,10019,0.016663424387136416,time_limit_with_witness,1,0.5019161899999744,18392.0,18392,1.839083228460936e-05,False,0.9999999999740736,True,False
65,0,10000,0.0022846238916081063,time_limit_with_witness,1,0.5017860700008896,53047.0,53047,5.304613869228092e-05,False,0.9999999999832861,True,False
65,1,10001,0.0022959261266137787,time_limit_with_witness,1,0.5034225370000058,3022.000000178814,3022,3.0260788363989377e-06,False,0.9996690933157045,True,False
