source_file,scenario_id,experiment,repeat_number,status,pipeline,num_entities,num_cores,num_variables,layers,steps,learning_rate,mixer_type,init_strategy,init_gamma,init_beta,random_seed,top_k,penalty,penalty_multiplier,weight_distribution,qubit_max,sorting_strategy,energy,brute_force_energy,feasible,optimal,optimality_gap,solve_time_ms,max_probability,convergence_iterations_to_final_tol,max_subqubo_convergence_iterations_to_final_tol,num_sub_qubos,all_sub_qubos_feasible,load_imbalance,recorded_sa_energy,recorded_sa_gap
sweep_20260626_153039_2c23dc71_results.jsonl,D2.5,D2,1,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,12,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,5673.702960000355,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.5,D2,2,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,12,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,5945.057904999885,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.5,D2,3,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,12,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,5491.662477999853,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.5,D2,4,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,12,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,5737.071938000099,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.5,D2,5,success,iterative,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,12,COUPLING_DESCENDING,-40.924800000000005,-40.924800000000005,True,True,0.0,5392.741150000347,,,,2,True,1.1102230246251565e-16,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.6,D2,1,success,default,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,16,COUPLING_DESCENDING,-40.900600000000004,-40.924800000000005,True,False,0.0005913284854171517,6929.832589999933,0.003961651371584029,,,,,,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.6,D2,2,success,default,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,16,COUPLING_DESCENDING,-40.900600000000004,-40.924800000000005,True,False,0.0005913284854171517,6892.675337000128,0.003961651371584029,,,,,,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.6,D2,3,success,default,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,16,COUPLING_DESCENDING,-40.900600000000004,-40.924800000000005,True,False,0.0005913284854171517,7049.850456000058,0.003961651371584029,,,,,,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.6,D2,4,success,default,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,16,COUPLING_DESCENDING,-40.900600000000004,-40.924800000000005,True,False,0.0005913284854171517,7004.8823770002855,0.003961651371584029,,,,,,,
sweep_20260626_153039_2c23dc71_results.jsonl,D2.6,D2,5,success,default,8,2,16,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,16,COUPLING_DESCENDING,-40.900600000000004,-40.924800000000005,True,False,0.0005913284854171517,6678.367449000234,0.003961651371584029,,,,,,,
